aafb 工地
gdab 环节
gddb 环顾
gdfb 天地
gdfb 郉
gdhb 珔
gdib 天池
gdbf 天际
gdbg 环卫
gdbk 天职
gdbw 天险
gdbb 天子
gehb 郙
gerb 䝈
gesb 一脉相承
gebe 䝐
gebg 琈
gebh 郬
gebi 䝒
gebm 逐出
gebu 青联
gebb 䝕
gffb 天塌地陷
gfbh 邘
gfbl 烈士陵园
ggfb 一地
ggbl 一阵
ggbw 球队
ggbw 一阶
ggbb 一下子
ggbb 王子
ghfb 下地
ghgb 鄢
ghvb 正好
ghbq 一目了然
ghbt 下降
ghbu 下联
ghbv 下限
ghbb 一辈子
giyb 䣇
gibk 求职
gibm 救出
gibm 求出
gjhb 鄟
gjpb 来临之际
gjrb 郠
gjub 理疗
gjvb 更好
gjbj 惠阳
gkfb 整地
gkgb 整顿
gkmb 䣓
gkub 豌
gkub 郖
gkbg 事隔
gkbh 郚
gkbk 副职
gkbw 带队
gkbb 带子
gkbb 两口子
gkbb 豆子
glrb 画报
glb 画
glbj 画
gmfb 两地
gmwb 邴
gmyb 郦
gmyb 酈
gmbg 刺耳
gmbj 枣阳
gmbj 㓰
gmbk 现职
gmbm 现出
gmbm 再出
gmbp 两院
gnfb 殖民地
gnnb 邷
gnbm 㻕
gnbb 㻵
gogb 鄑
gobi 来函
goby 严防
gpcb 天之骄子
gpqb 琬
gqeb 殍
gqfb 形象地
gqgb 歼击
gqjb 䶛
gqpb 㱧
gqqb 卼
gqtb 聱
gqtb 珋
gqbg 殛
gqbk 殉职
gqbm 迈出
gqbm 列出
gqbn 㤪
gqbp 玩忽职守
gqbu 残联
gqbw 列队
grab 青年节
grfb 开拓进取
grbb 一揽子
gtbg 敷衍了事
gtbg 㻑
gtbt 琇
gtbb 麦子
gudb 郏
gufb 平地
gufb 开阔地
gugb 夹击
gubg 平陆
gubj 平阳
gubt 一意孤行
gvab 䣆
gvhb 郪
gvbb 妻子
gwgb 来人来函
gwvb 正人君子
gwyb 㻪
gwbn 玱
gxib 恶贯满盈
gxbu 互联
gyab 开斋节
gyfb 一望无际
gytb 㻢
gyvb 瑯
gyba 妻离子散
gb 击
gbai 击落
gbcy 㻓
gbdg 顿感
gbdh 击破
gbdl 事出有因
gbdp 瓍
gbdb 一了百了
gbea 击毁
gbg 珥
gbg 㺭
gbga 青出于蓝
gbgg 击球
gbj 击
gbjf 顿时
gbkh 击中
gbmr 互联网
gbmt 击败
gbn 顿
gbnc 屯
gbnj 旾
gbnm 顿
gbnm 頓
gbnp 迍
gbnt 严阵以待
gbnw 珠联璧合
gbny 㼊
gbnb 邨
gbpm 一孔之见
gbpw 击穿
gbve 击退
gbve 屯垦
gbwg 击剑
gbwi 㐪
gbwt 击伤
gbxx 击毙
gbyo 球谐函数
gbbh 瑘
gbbb 一阵子
haeb 䣜
hagb 齾
harb 虚报
hcbb 皮子
hdyb 郹
hdbm 辈出
hebb 卡脖子
hgfb 上地
hgrb 上报
hgub 上瘾
hgbl 上阵
hgbn 盹
hgbu 上联
hgbv 上限
hhgb 目击
hhwb 䣤
hhbb 步子
hjbb 桌子
hkfb 占地
hkfb 战地
hkbg 䁒
hkbl 点阵
hkbm 点出
hkbb 点子
hnvb 郻
hnb 瞰
hnbq 凹陷
hnbt 瞰
hobc 齢
hobj 歯
hpqb 睕
hpbb 瞎子
hqbd 覎
hqbj 䀚
hrfb 目的地
hrbt 䁓
hudb 睠
hwb 龄
hwbc 龄
hwbe 龈
hwbf 龌
hwbg 龃
hwbh 龊
hwbj 齿
hwbk 龉
hwbk 龆
hwbn 龅
hwbn 龁
hwbr 龂
hwbx 龇
hwbx 龀
hwby 龋
hxfb 此地
hykb 䁨
hbaj 齰
hban 齛
hban 䶙
hbat 齖
hbaw 䶞
hbck 齝
hbcn 䶕
hbdk 齮
hbdw 䶝
hbdy 䶢
hbeg 齟
hbeg 齨
hbeq 齯
hbfq 䶧
hbfw 齻
hbfy 䶪
hbg 眲
hbgk 齬
hbgm 䶦
hbhg 䶥
hbhx 齜
hbj 齒
hbjx 齥
hbjy 齵
hbjy 䶚
hbkh 齪
hbkn 齶
hbkt 䶫
hbkw 齞
hblg 䁅
hbls 齫
hbme 䶤
hbmj 䶡
hbmu 䶣
hbnf 齷
hbnn 齓
hbpl 齳
hbqe 䶟
hbqk 齣
hbqn 齙
hbqt 齺
hbrh 齗
hbrr 齭
hbsh 齼
hbsi 齽
hbsk 䶗
hbtf 齚
hbtk 䶜
hbtn 齕
hbty 齲
hbue 齴
hbug 䶘
hbul 齸
hbve 齦
hbvk 齠
hbwc 齡
hbwj 齘
hbwn 䶖
hbww 䶨
hbxn 齔
hbyj 䶩
hbyr 齩
hbbc 齱
hbbn 䶔
iadb 水落石出
iafb 满地
iarb 汇报
iabc 汇聚
iabe 江阴
iabf 江陵
iabt 江孜
icpb 汉字
ictb 渗透
icub 治疗
icbj 汉阳
icbb 汉子
idhb 洊
idjb 㴟
idbn 少不了
idbb 尖子
ierb 㶅
ieb 浮
iebc 汲取
iebg 浮
iebl 㵬
iebm 浮出
iebn 㐢
iebn 㳶
iffb 洼地
ifgb 波士顿
ifib 滇池
iflb 漫无边际
ifpb 浡
iftb 涍
ifbj 潮阳
ifbk 渎职
ifbp 法院
ifbb 法子
igdb 光顾
igrb 举报
igtb 清秀
igwb 清仓
igb 沌
igbe 光阴
igbm 涌现出
igbn 沌
igbt 兴隆
igbw 清除
igbw 游击队
igbb 光子
ihab 小节
ihrb 小报
ihbw 小队
ihby 小孩
ihbb 小子
iiab 泼水节
iidb 漏洞百出
iifb 沙地
iifb 水浇地
iiib 游泳池
iibg 水陆
iibw 消除
iiby 消防
iibb 沙子
ijab 清明节
ijbc 㵊
ikbg 湒
ikby 濈
ilrb 聻
imkb 䣊
imbh 䣔
imbb 小册子
intb 深居简出
inub 泥塑
inb 潺
inbe 汤阴
inbj 沁阳
inbm 淈
inbt 澉
inby 光怪陆离
inbb 潺
iotb 淡季
ipdb 深宅大院
ipib 没完没了
ipkb 䣘
ipkb 䣣
ipqb 涴
iprb 学报
ipvb 学好
ipb 学
ipb 
ipbf 学
ipbj 沈阳
ipbm 演出
ipbp 学院
ipbq 深陷
ipbt 沉降
ipbt 敩
ipbu 学联
ipbb 学子
iqdb 洈
iqrb 洶
iqtb 泖
irtb 㳺
irb 汹
irbh 汹
irbm 派出
isib 河池
isbj 溧阳
isby 浮想联翩
itib 深入浅出
itrb 海报
itrb 消息报
itvb 瀄
itbg 㳵
itbj 洛阳
itbn 沲
itbu 兴利除弊
itbw 少先队
itby 海防
iudb 淃
iub 溯
iube 溯
iubf 涪陵
iubj 㴊
iubm 溢出
ivfb 当地
ivtb 浸透
ivtb 㴫
ivbj 当阳
ivbj 汝阳
iwib 浴池
iwb 沧
iwbe 淮阴
iwbj 濮阳
iwbj 淮阳
iwbn 沧
iwbq 沦陷
iwbw 小分队
iwbb 小伙子
ixbg 渳
iygb 游击
iykb 淳
iykb 涥
iykb 漷
iytb 游
iytb 湤
iyub 注塑
iybf 洲际
iybj 浏阳
iybb 游子
ib 池
ibak 洗耳恭听
ibcc 滠
ibci 㵵
ibcl 溋
ibdi 㴍
ibdp 瀡
iben 㶏
ibfo 池塘
ibg 洱
ibg 汓
ibhj 滍
ibi 涵
ibig 洆
ibim 涵洞
ibit 洱海
ibib 涵
ibjg 㳱
ibk 凼
ibkm 濻
ibkb 㴠
ibl 泐
iblf 演出团
iblf 䀀
iblg 消防车
iblh 渎职罪
iblt 泐
ibmh 泏
ibn 池
ibn 氾
ibnn 㳧
ibpq 㴷
ibpw 海陆空
ibrn 派出所
ibtg 漋
ibuf 涵养
ibug 涵盖
ibw 滁
ibws 滁
ibwt 光阴似箭
ibxg 㶌
ibyr 涵义
ibyt 滁州
ibbj 㵫
ibbb 灄
jabj 昻
jcfb 畅通无阻
jdbn 蚅
jebg 蜉
jebn 明了
jfab 时节
jfcb 䖼
jffb 旱地
jfpb 㫲
jfrb 时报
jftb 旱季
jftb 㫴
jfbg 时隔
jfbv 时限
jgpb 题字
jgtb 旺季
jgbn 旽
jgbb 量子
jhrb 申报
jhbw 冒险
jhbb 虫子
jjab 电影节
jjrb 日报
jjwb 日创
jjbm 日出
jjbp 电影院
jjbb 日子
jkgb 曼哈顿
jlcb 鄤
jmbm 映出
jmbw 遇险
jnib 电池
jnrb 电报
jnbe 电阻
jnbb 电子
jobm 显出
jpqb 蜿
jpqb 晼
jqdb 蛫
jqfb 易地
jqrb 晚报
jqtb 昴
jqb 昂
jqbj 昂
jqbw 剔除
jrbt 蝬
jsnb 果敢
jsbb 果子
jtcb 暗箭难防
jtfb 畅行无阻
jtvb 䗻
jtyb 量入为出
jtbf 星际
jtbt 蜏
judb 蜷
judb 㒽
jubu 蝉联
jvcb 蝍
jvdb 照顾
jvbw 归队
jxtb 曏
jykb 蜳
jykb 㬀
jykb 㬑
jytb 蝣
jytb 暆
jytb 㒾
jyvb 螂
jybp 影院
jybb 影子
jb 最
jbc 最
jbcu 最
jbcw 最难
jbdd 最大
jbep 最爱
jbeq 临阵脱逃
jbf 㫗
jbfd 最坏
jbfq 最远
jbfq 师出无名
jbg 虸
jbhc 㫞
jbih 最小
jbit 最少
jbib 蜬
jbjf 最早
jbjg 时隐时现
jbjj 早出晚归
jbkg 蟶
jbkh 最贵
jblg 蜢
jblr 朂
jbmf 曓
jbmh 昢
jbmh 䖦
jbmi 㬧
jbmo 㬥
jbn 虵
jbnn 最快
jbny 最迟
jbos 临阵磨枪
jbpu 最初
jbqq 最多
jbrg 最后
jbrp 最近
jbta 最长
jbtd 最短
jbtf 最先
jbus 最新
jbvb 最好
jbwf 最佳
jbwq 最低
jbxt 最终
jbyk 最高
jbyt 最为
kceb 叹服
kcbb 嗓子
kdeb 喐
kdhb 囓
kdb 呃
kdbn 呃
kebc 吸取
kebe 吸附
kebg 哹
kebn 啂
kflb 鄙
kfpb 哱
kftb 嘟
kftb 哮
kfvb 嗜好
kfbk 别无出路
kfbm 喷出
kfbn 哋
kfbb 叶子
kgeb 哺乳
kgrb 呈报
kgb 吨
kgbh 郢
kgbm 呈现出
kgbm 噸
kgbn 吨
kgbp 忠于职守
kgbb 号子
khab 䠜
khfb 踋
khfb 踍
khgb 䣒
khob 噛
khpb 踠
khqb 跪
khub 踯
khub 足疗
khub 踡
khub 躑
khwb 啮
khwb 跄
khwb 䠬
khbc 蹑
khbc 踙
khbd 跟随
khbg 中卫
khbh 嚙
khbi 䠫
khbj 贵阳
khbn 踂
khbs 跥
khbu 路障
khbw 中队
khbb 中子
khbb 躡
kjbc 嘬
kkeb 口服
kkfb 鄂
kkfb 卾
kkkb 鄵
kklb 鄲
kkub 䣞
kkbh 郘
kkbu 串联
kkbb 口子
klbw 中国队
kmb 郧
kmbh 郧
kmbh 鄖
kngb 哪
knvb 叫好
knbm 啒
knbt 噉
knbb 忠心耿耿
kpgb 哈密顿
kpqb 啘
kpwb 呼之欲出
kqrb 哅
kqbt 㗙
krhb 啣
krxb 喞
krbc 听取
krbh 㕳
ktab 中秋节
kttb 吃透
ktvb 㘉
ktbp 中科院
ktbt 唀
ktbb 中微子
kudb 啳
kube 嗍
kvcb 唧
kwdb 只顾
kwgb 喩
kwvb 只好
kwb 呛
kwbn 呛
kwbn 咃
kwbp 哗众取宠
kwbv 只限
kykb 哼
kykb 啍
kykb 㗥
kyub 忠言逆耳
kyvb 啷
kybi 唁函
kb 啊
kbc 嗫
kbcc 嗫
kbcy 㖩
kbeg 唨
kbf 咠
kbg 吇
kbg 咡
kbh 叩
kbhj 嗤
kbib 㖤
kbkn 吼叫
kbm 咄
kbmh 咄
kbn 吼
kbn 吔
kbnf 别出心裁
kbnn 吼
kbqy 口出狂言
kbqb 㗦
kbs 啊
kbsk 啊
kbxy 戢
kbbh 㖿
kbbb 囁
labs 斩草除根
lcgb 轰击
lcbc 轻取
lcbc 轻盈
lcbt 轰隆
lcbb 轻子
ldqb 恩怨
ldb 轭
ldbn 轭
ldbn 軛
ldbb 因子
lebf 罦
lffb 园地
lfob 黦
lfbc 团聚
lfbm 转出
lfbn 罢了
lfbw 团队
lfbb 转子
lfbb 黑子
lgb 囤
lgbf 国际
lgbh 国耻
lgbn 囤
lgbn 軘
lgbu 国联
lgbw 车队
lgby 国防
lgbb 车子
lhtb 四季
lkdb 回顾
lkgb 回击
lkrb 回报
lkb 辑
lkbg 辑
lkbg 輯
lkbi 贺函
lkbi 回函
lkbb 架子
llfb 田地
llbi 男子汉
llbj 田阳
llbu 田联
llbw 男队
llby 男孩
llbb 轰轰隆隆
llbb 男子
lmbd 轴承
lnbb 轏
loab 国庆节
lpqb 畹
lpqb 䡝
lpbf 边际
lpbt 边陲
lpbw 连队
lpby 边防
lrbt 䍟
lsrb 黑板报
ludb 圈
luhb 轻装上阵
lubb 圈子
lvbh 䣚
lwrb 办报
lwvb 办好
lwbm 输出
lwbv 界限
lwbb 轮子
lyvb 较好
lbcy 輙
lbd 囝
lbig 䡕
lbn 辄
lbnn 辄
lbnn 輒
lbpl 边防军
lbur 国际单位制
lbwd 礊
lbwf 墼
lbwi 繫
lbwj 蟿
lbwl 轚
lbwm 罊
lbwr 擊
lbws 檕
lbyt 因陋就简
magb 鄷
mahb 峫
mawb 㟟
mabj 曲阳
mabb 曲子
mdhb 酆
mdbt 内在联系
meeb 䣙
mepb 䯛
mebg 㟊
mebb 骨子
mfkb 郮
mfpb 㟑
mfrb 周报
mfub 雕塑
mgdb 刚正不阿
mhpb 帵
mhtb 幯
mhbn 㡇
mhbb 帽子
mhbb 幌子
mkbu 幅员辽阔
mkby 嶯
mmab 删节
mmfb 山地
mmbj 山阳
mmbw 删除
mmbb 崎岖险阻
mnbm 崛
mnbm 崫
mpqb 䝹
mpbb 败家子
mqdb 峗
mqdb 峞
mqfb 见地
mqjb 賯
mqrb 见报
mqtb 峁
mqub 见闻
mqvb 见好
mqbd 觃
mqbj 岇
mrpb 周年之际
mrvb 刚好
mrbq 㟅
mrbt 嵏
mrbt 嵕
mrbb 贩子
mtbn 䝯
mudb 㟡
mubm 胐
mwfb 内地
mwib 内涵
mwyb 酅
mwbg 内陆
mykb 崞
mytb 崺
mybh 䢷
mybj 丹阳
mb 邮
mbdc 邮码
mbg 㞨
mbgh 邮政
mbgl 同出一辙
mbh 邮
mbh 邖
mbh 郥
mbib 崡
mbjf 骨子里
mbjn 邮电
mbkh 邮路
mbmq 邮购
mbmr 内联网
mbn 貤
mbnn 邮局
mbnw 邮戳
mbpd 邮寄
mbqn 邮包
mbqx 内联外引
mbqb 㟹
mbr 㞧
mbsf 邮票
mbt 屷
mbtc 㠕
mbtg 嶐
mbts 邮箱
mbuq 邮资
mbux 邮递
mbv 㕀
mbwt 邮件
mbxj 邮费
mbxy 邮编
nafb 异地
nabm 展出
naby 民防
nddb 丑态百出
ndtb 恬不知耻
ndbp 剧院
ndbt 民不聊生
ndbb 怀孕
nebw 以貌取人
nfpb 悖
nfrb 导报
nftb 䣝
nfbk 屆
ngab 情节
ngkb 孠
ngrb 情报
ngb 那
ngbh 那
ngbm 悟出
ngbm 展现出
ngbn 忳
ngbw 敢死队
ngbb 屋子
nhub 丑闻
nhbc 收取
nhbg 丑陋
nhbh 郿
nirb 悩
nkab 郼
nkab 韕
nknb 尽忠尽职
nkub 孹
nkbb 避孕
nkbb 书呆子
nnfb 局地
nnrb 书报
nnrb 快报
